
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000679                       # Number of seconds simulated (Second)
simTicks                                    678946000                       # Number of ticks simulated (Tick)
finalTick                                   678946000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.23                       # Real time elapsed on the host (Second)
hostTickRate                                552355058                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     309124                       # Number of bytes of host memory used (Byte)
simInsts                                      1035326                       # Number of instructions simulated (Count)
simOps                                        1035396                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   842257                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     842312                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1357893                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.311561                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.762450                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1405165                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      264                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1131006                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    322                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               370032                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            334464                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  78                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1215998                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.930105                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.660025                       # Number of insts issued each cycle (Count)
system.cpu.icache.demandHits::cpu.inst         307789                       # number of demand (read+write) hits (Count)
system.cpu.icache.demandHits::total            307789                       # number of demand (read+write) hits (Count)
system.cpu.icache.overallHits::cpu.inst        307789                       # number of overall hits (Count)
system.cpu.icache.overallHits::total           307789                       # number of overall hits (Count)
system.cpu.icache.demandMisses::cpu.inst         3579                       # number of demand (read+write) misses (Count)
system.cpu.icache.demandMisses::total            3579                       # number of demand (read+write) misses (Count)
system.cpu.icache.overallMisses::cpu.inst         3579                       # number of overall misses (Count)
system.cpu.icache.overallMisses::total           3579                       # number of overall misses (Count)
system.cpu.icache.demandMissLatency::cpu.inst    192487498                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.demandMissLatency::total    192487498                       # number of demand (read+write) miss ticks (Tick)
system.cpu.icache.overallMissLatency::cpu.inst    192487498                       # number of overall miss ticks (Tick)
system.cpu.icache.overallMissLatency::total    192487498                       # number of overall miss ticks (Tick)
system.cpu.icache.demandAccesses::cpu.inst       311368                       # number of demand (read+write) accesses (Count)
system.cpu.icache.demandAccesses::total        311368                       # number of demand (read+write) accesses (Count)
system.cpu.icache.overallAccesses::cpu.inst       311368                       # number of overall (read+write) accesses (Count)
system.cpu.icache.overallAccesses::total       311368                       # number of overall (read+write) accesses (Count)
system.cpu.icache.demandMissRate::cpu.inst     0.011494                       # miss rate for demand accesses (Ratio)
system.cpu.icache.demandMissRate::total      0.011494                       # miss rate for demand accesses (Ratio)
system.cpu.icache.overallMissRate::cpu.inst     0.011494                       # miss rate for overall accesses (Ratio)
system.cpu.icache.overallMissRate::total     0.011494                       # miss rate for overall accesses (Ratio)
system.cpu.icache.demandAvgMissLatency::cpu.inst 53782.480581                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.demandAvgMissLatency::total 53782.480581                       # average overall miss latency in ticks ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::cpu.inst 53782.480581                       # average overall miss latency ((Tick/Count))
system.cpu.icache.overallAvgMissLatency::total 53782.480581                       # average overall miss latency ((Tick/Count))
system.cpu.icache.blockedCycles::no_mshrs          807                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.icache.blockedCauses::no_mshrs           19                       # number of times access was blocked (Count)
system.cpu.icache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.icache.avgBlocked::no_mshrs      42.473684                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.icache.demandMshrHits::cpu.inst          890                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.demandMshrHits::total           890                       # number of demand (read+write) MSHR hits (Count)
system.cpu.icache.overallMshrHits::cpu.inst          890                       # number of overall MSHR hits (Count)
system.cpu.icache.overallMshrHits::total          890                       # number of overall MSHR hits (Count)
system.cpu.icache.demandMshrMisses::cpu.inst         2689                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.demandMshrMisses::total         2689                       # number of demand (read+write) MSHR misses (Count)
system.cpu.icache.overallMshrMisses::cpu.inst         2689                       # number of overall MSHR misses (Count)
system.cpu.icache.overallMshrMisses::total         2689                       # number of overall MSHR misses (Count)
system.cpu.icache.demandMshrMissLatency::cpu.inst    144004998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissLatency::total    144004998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::cpu.inst    144004998                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.overallMshrMissLatency::total    144004998                       # number of overall MSHR miss ticks (Tick)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.008636                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.008636                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.008636                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.008636                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 53553.364820                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 53553.364820                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 53553.364820                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 53553.364820                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                   2430                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst       307789                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total          307789                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst         3579                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total          3579                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst    192487498                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total    192487498                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst       311368                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total       311368                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.011494                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.011494                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 53782.480581                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 53782.480581                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          890                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          890                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst         2689                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total         2689                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst    144004998                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total    144004998                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.008636                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.008636                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 53553.364820                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 53553.364820                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           251.873219                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs               310476                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs               2687                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs             115.547451                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick               82000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   251.873219                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.983880                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.983880                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          256                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0          124                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::1          121                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::2           11                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses             625423                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses            625423                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                     11511                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                     527489                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                    10675                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts                1405429                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                 2889                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                   275626                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                   63833                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                   102                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                      8240                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                     2196                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents            463                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect           8596                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         3153                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                11749                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                  1109174                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                 1106398                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                    648656                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                    799712                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        0.814790                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.811112                       # Average fanout of values written-back ((Count/Count))
system.cpu.lsq0.forwLoads                       32970                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   87928                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                  210                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                 463                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                   6227                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                    1                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                    138                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples             187698                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean             13.678089                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            39.498202                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9                 173018     92.18%     92.18% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19                   52      0.03%     92.21% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                   49      0.03%     92.23% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                   22      0.01%     92.24% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                    8      0.00%     92.25% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                   16      0.01%     92.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                   13      0.01%     92.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                   57      0.03%     92.29% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                   27      0.01%     92.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                   14      0.01%     92.32% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109                864      0.46%     92.78% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119               1826      0.97%     93.75% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                718      0.38%     94.13% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139               9630      5.13%     99.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149                269      0.14%     99.41% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159                 39      0.02%     99.43% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169                656      0.35%     99.78% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179                 34      0.02%     99.79% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189                 26      0.01%     99.81% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199                 83      0.04%     99.85% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                 13      0.01%     99.86% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                  8      0.00%     99.86% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                  1      0.00%     99.86% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                  2      0.00%     99.87% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                 17      0.01%     99.87% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259                  3      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                  2      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                  3      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289                  7      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                  1      0.00%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows              220      0.12%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value              707                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total               187698                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.readHits                         0                       # read hits (Count)
system.cpu.mmu.dtb.readMisses                       0                       # read misses (Count)
system.cpu.mmu.dtb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.dtb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.dtb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.dtb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.dtb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.dtb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.dtb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.dtb.walker.num_4kb_walks             0                       # Completed page walks with 4KB pages (Count)
system.cpu.mmu.dtb.walker.num_2mb_walks             0                       # Completed page walks with 2MB pages (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.readHits                         0                       # read hits (Count)
system.cpu.mmu.itb.readMisses                       0                       # read misses (Count)
system.cpu.mmu.itb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.itb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.itb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.itb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.itb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.itb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.itb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.itb.walker.num_4kb_walks             0                       # Completed page walks with 4KB pages (Count)
system.cpu.mmu.itb.walker.num_2mb_walks             0                       # Completed page walks with 2MB pages (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                  11511                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                   325318                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                  540550                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles           4458                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                    313102                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles                 21059                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts                1459499                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                   137                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                   8613                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                   5695                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                   5424                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands             1082920                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                     1713865                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                  1655827                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                        15                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps                754856                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   328064                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                      81                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                  86                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                     35642                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                          2518494                       # The number of ROB reads (Count)
system.cpu.rob.writes                         2862900                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                  1035326                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                    1035396                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                    19                       # Number of system calls (Count)
system.l2bus.transDist::ReadResp                 7852                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty            535                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict               9508                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeReq                  2                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeResp                 2                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq                 344                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp                344                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq            7854                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateReq               3                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateResp              3                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port         7804                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port        15516                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                    23320                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port       171840                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port       370112                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                    541952                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                              3127                       # Total snoops (Count)
system.l2bus.snoopTraffic                       16832                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples               11328                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.026130                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.159529                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                     11032     97.39%     97.39% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                       296      2.61%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 1                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                 11328                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED    678946000                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy              7834500                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy             4030500                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy             8266000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests           15121                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests         6924                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests            3                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops               288                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops          288                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst               946                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data                33                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total                  979                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst              946                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data               33                       # number of overall hits (Count)
system.l2cache.overallHits::total                 979                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst            1741                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data            5476                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total               7217                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst           1741                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data           5476                       # number of overall misses (Count)
system.l2cache.overallMisses::total              7217                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst    130017500                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data    385583500                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total     515601000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst    130017500                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data    385583500                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total    515601000                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst          2687                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data          5509                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total             8196                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst         2687                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data         5509                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total            8196                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.647934                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.994010                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.880551                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.647934                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.994010                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.880551                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 74679.781735                       # average overall miss latency in ticks ((Tick/Count))
